year,repo,commit,root_cause,symptom,code_add,code_remove,platform_related,error_handling,propagation_chain_1,propagation_chain_2,len_panic
2022,egui,bd2cab2f,Ver,Behavior,113,19,0,0,safe,safe,-1
2022,egui,bd5250f8,Alg,Panic,68,36,0,1,unsafe,unsafe,0
2022,egui,c5495d69,Alg,Panic,13,10,1,0,safe,safe,-3
2022,egui,c8dd5d1b,Unwrap,Panic,52,37,0,1,unsafe,safe,0
2022,egui,d3af3a6d,Alg,Panic,6,0,0,0,safe,safe,-3
2022,egui,ea5c9483,Type,Compile,5,3,1,0,safe,safe,-1
2022,egui,f61044ce,Attr,Performance,2,7,1,0,safe,safe,-1
2022,egui,fb92434a,Alg,Behavior,565,315,1,0,unsafe,unsafe,-1
2022,meilisearch,09a72cee,Alg,Performance,88,2,0,0,safe,safe,-1
2022,meilisearch,1818026a,Alg,Crash,24,4,0,0,safe,safe,-1
2022,meilisearch,1d85eeec,Doc,Behavior,5,3,0,2,safe,safe,-1
2022,meilisearch,22874ce3,Alg,Behavior,6,2,0,0,safe,safe,-1
2022,meilisearch,44440bb,Ver,Panic,17,17,0,0,safe,safe,-1
2022,meilisearch,4a9000bb,Doc,Behavior,392,8,0,0,safe,safe,-1
2022,meilisearch,58cd5d2,Unwrap,Panic,9,9,0,0,safe,safe,-1
2022,meilisearch,6171f17f,Cod,Behavior,70,84,0,0,safe,safe,-1
2022,meilisearch,637ca7b9,Alg,Behavior,73,38,0,0,safe,safe,-1
2022,meilisearch,7f89e302,Ver,Behavior,153,24,0,1,safe,safe,-1
2022,meilisearch,877d1735,Alg,Behavior,17,7,0,1,safe,safe,-1
2022,meilisearch,8ac8fcb0,Doc,Behavior,20,25,0,1,safe,safe,-1
2022,meilisearch,9e261b99,Alg,Behavior,50,52,0,0,safe,safe,-1
2022,meilisearch,9e344f65,Alg,Behavior,86,10,0,0,safe,safe,-1
2022,meilisearch,b2bbd13,Attr,Panic,3,3,0,0,safe,safe,-3
2022,meilisearch,b9e676b8,Other,Behavior,1,0,0,0,safe,safe,-1
2022,meilisearch,c24b1e52,Alg,Behavior,43,7,0,1,safe,safe,-1
2022,meilisearch,cb29d7d1,Alg,Behavior,18,5,0,0,safe,safe,-1
2022,meilisearch,d16ea755,Alg,Behavior,331,86,0,1,safe,safe,-1
2022,meilisearch,de356061,Alg,Behavior,360,191,0,1,safe,safe,-1
2022,meilisearch,e315547f,Doc,Behavior,365,316,0,2,safe,safe,-1
2022,meilisearch,ee372099,Other,Behavior,24,7,0,0,safe,safe,-1
2022,meilisearch,f724f8ad,Alg,Behavior,27,37,0,1,safe,safe,-1
2022,meilisearch,f908ae2e,Alg,Behavior,2,2,0,0,safe,safe,-1
2022,meilisearch,fcedce85,Attr,Compile,1,0,0,0,safe,safe,-1
2022,rust,0878bee3,Doc,Behavior,65,1,0,0,safe,safe,-1
2022,rust,50a66b75,Unwrap,Panic,54,18,1,0,safe,safe,-1
2022,rust,59e7a308,Unsound,Behavior,36,11,0,0,unsafe,unsafe,-1
2022,rust,6dd64d38,Unsound,Behavior,101,20,0,0,unsafe,unsafe,-1
2022,rust,731e0bf7,Doc,Behavior,107,48,0,1,safe,safe,-1
2022,rust,83322c55,Bound,Panic,13,1,0,0,safe,safe,-1
2022,rust,e7025347,Alg,Behavior,125,5,0,0,unsafe,safe,-1
2022,rust,issue-104530,Mac,Panic,23,10,1,0,unsafe,unsafe,-1
2022,rust,issue-99878,Attr,Panic,0,2,0,0,safe,safe,-1
2022,rust-analyzer,029184d9,Alg,Behavior,37,24,0,1,safe,safe,-1
2022,rust-analyzer,02c240ff,Alg,Behavior,33,9,0,1,safe,safe,-1
2022,rust-analyzer,02f9ec4b,Alg,Behavior,151,36,0,1,safe,safe,-1
2022,rust-analyzer,033f91e7,Alg,Behavior,45,13,0,1,safe,safe,-1
2022,rust-analyzer,071186f8,Alg,Behavior,44,2,0,1,safe,safe,-1
2022,rust-analyzer,07f6efc4,Alg,Behavior,1,0,0,0,safe,safe,-1
2022,rust-analyzer,093de32f,Unwrap,Panic,38,1,0,1,safe,safe,1
2022,rust-analyzer,0b53744f,Alg,Behavior,203,29,0,1,safe,safe,-1
2022,rust-analyzer,0bbead9f,Alg,Behavior,43,10,0,1,safe,safe,-1
2022,rust-analyzer,10dd471f,Alg,Behavior,133,101,0,1,safe,safe,-1
2022,rust-analyzer,149981fb,Alg,Behavior,42,1,0,0,safe,safe,-1
2022,rust-analyzer,20e6065a,Alg,Panic,17,21,0,1,safe,safe,-3
2022,rust-analyzer,23e47e1e,Alg,Behavior,55,26,0,1,safe,safe,-1
2022,rust-analyzer,24f9209a,Alg,Behavior,113,11,0,1,safe,safe,-1
2022,rust-analyzer,2c37e7d4,Alg,Behavior,78,27,0,1,safe,safe,-1
2022,rust-analyzer,2e9d5b59,Alg,Behavior,118,61,0,1,safe,safe,-1
2022,rust-analyzer,2fb6f5e4,Alg,Behavior,31,1,0,0,safe,safe,-1
2022,rust-analyzer,2ff505ab,Alg,Behavior,532,68,0,1,safe,safe,-1
2022,rust-analyzer,30c4db10,Alg,Panic,37,4,0,0,safe,safe,3
2022,rust-analyzer,34e2bc6a,Alg,Behavior,141,16,0,1,safe,safe,-1
2022,rust-analyzer,3535a052,Doc,Behavior,15,9,0,0,safe,safe,-1
2022,rust-analyzer,39032431,Doc,Behavior,26,1,0,1,safe,safe,-1
2022,rust-analyzer,3a69435a,Alg,Behavior,52,61,0,0,safe,safe,-1
2022,rust-analyzer,3a7215b9,Alg,Behavior,70,4,0,1,safe,safe,-1
2022,rust-analyzer,3b40230a,Alg,Performance,96,165,0,1,safe,safe,-1
2022,rust-analyzer,402dba8d,Alg,Behavior,11,6,0,0,safe,safe,-1
2022,rust-analyzer,434e718b,Alg,Behavior,12,5,0,0,safe,safe,-1
2022,rust-analyzer,46d7ee68,Alg,Behavior,116,83,0,1,safe,safe,-1
2022,rust-analyzer,47909168,Alg,Behavior,43,4,0,1,safe,safe,-1
2022,rust-analyzer,49847a25,Alg,Behavior,106,13,0,1,safe,safe,-1
2022,rust-analyzer,4f7d1a9d,Alg,Behavior,42,2,0,0,safe,safe,-1
